분야필터,기관명,대표자명,상세보기소재지,도/시,시/군/구,전화,팩스,비고,유효기간
식품,한국표준시험분석연구원㈜,안무헌,"경기도 안산시 단원구 광덕4로 250, 씨티프라자 5층",경기도,안산시,031-493-3547,031-493-1959,,25.9.26
축산물,한국표준시험분석연구원㈜,안무헌,"경기도 안산시 단원구 광덕4로 250, 씨티프라자 5층",경기도,안산시,031-493-3547,031-493-1959,,27.11.25
축산물,농협경제지주㈜ 축산연구원,윤영복,경기도 안성시 공도읍 대신두길 42-20,경기도,안성시,031-659-1336,031-659-1377,"식육가공품(식용우지, 식용돈지 제외), 알가공품, 식용란, 포장육에 한함",27.12.25
식품,(주)혜성환경,장공례,경기도 안양시 동안구 귀인로 79번길 35(호계동) 4층,경기도,안양시,031-473-3413,031-472-2996,,24.12.2
식품,뷰로베리타스씨피에스코리아 주식회사,김선아,"경기도 안양시 동안구 벌말로 126, 409호, 8층, 901~902호, 908~915호",경기도,안양시,031-688-8046,031-360-0276,,27.11.15
축산물,뷰로베리타스씨피에스코리아 주식회사,김선아,"경기도 안양시 동안구 벌말로 126, 409호, 8층, 901~902호, 908~915호",경기도,안양시,031-688-8046,031-360-0276,,24.9.9
위생용품,(재)KATRI시험연구원,김성열,경기도 안양시 만안구 전파로 24번길 82,경기도,안양시,031-596-5600,031-538-9499 ,"세척제, 헹굼보조제, 일회용종이냅킨·이쑤시개·면봉·기저귀·행주·팬티라이너, 식품접객업소용물티슈, 화장지, 위생물수건, 물수건용건티슈(12품목)",2028.5.23.
건강기능식품,주식회사 씨티케이,YOUNG JOSEPH SEUNGWON,경기도 용인시 기흥구 신정로 41번길 52-17,경기도,용인시,031-702-3155,031-624-9501,,27.9.24
식품,주식회사 씨티케이,YOUNG JOSEPH SEUNGWON,경기도 용인시 기흥구 신정로 41번길 52-17,경기도,용인시,031-702-3155,031-624-9501,,27.9.24
축산물,주식회사 씨티케이,YOUNG JOSEPH SEUNGWON,경기도 용인시 기흥구 신정로 41번길 52-17,경기도,용인시,031-702-3155,031-624-9501,,28.3.18
식품,삼성웰스토리㈜ 식품연구소,정해린,"경기도 용인시 기흥구 용구대로 2442-1(마북동, 외 6필지)",경기도,용인시,031-899-0543,031-288-0811,,25.8.6
축산물,삼성웰스토리㈜ 식품연구소,정해린,"경기도 용인시 기흥구 용구대로 2442-1(마북동, 외 6필지)",경기도,용인시,031-899-0543,031-288-0811,식육가공품 및 알가공품에 한함,27.12.25
건강기능식품,(주)정피엔씨연구소,정영철,"경기도 용인시 기흥구 흥덕중앙로 120 유-타워 1504호, 1505호(영덕동) ",경기도,용인시,031-708-8113,031-702-8110,,25.6.19
식품,(주)정피엔씨연구소,정영철,"경기도 용인시 기흥구 흥덕중앙로 120 유-타워 1504호, 1505호(영덕동) ",경기도,용인시,031-708-8113,031-702-8110,,25.6.19
식품첨가물,(주)정피엔씨연구소,정영철,"경기도 용인시 기흥구 흥덕중앙로 120 유-타워 1504호, 1505호(영덕동) ",경기도,용인시,031-708-8113,031-702-8110,,25.6.19
축산물,(주)정피엔씨연구소,정영철,"경기도 용인시 기흥구 흥덕중앙로 120 유-타워 1504호, 1505호(영덕동) ",경기도,용인시,031-708-8113,031-702-8110,"식육가공품, 포장육에 한함",25.6.19
식품,(주)현대그린푸드 식품위생연구소,박홍진,경기도 용인시 수지구 문인로 30,경기도,용인시,031-525-2131~9,031-525-2493,,25.8.6
축산물,(주)현대그린푸드 식품위생연구소,박홍진,경기도 용인시 수지구 문인로 30,경기도,용인시,031-525-2130,031-525-2493,"식육가공품,  알가공품에 한함",27.11.25
건강기능식품,(주)핀어클 CALS지점,이명학,"경기도 용인시 수지구 포은대로 499(죽전동, 용인아르피아내 B1구역)",경기도,용인시,070-8879-0623,02-6280-2362,,24.11.26
식품,(주)핀어클 CALS지점,이명학,"경기도 용인시 수지구 포은대로 499(죽전동, 용인아르피아내 B1구역)",경기도,용인시,070-8879-0623,02-6280-2362,,24.11.26
식품첨가물,(주)핀어클 CALS지점,이명학,"경기도 용인시 수지구 포은대로 499(죽전동, 용인아르피아내 B1구역)",경기도,용인시,070-8879-0623,02-6280-2362,,24.11.26
건강기능식품,한국에스지에스㈜ ,이인섭,"경기도 의왕시 맑은내길 67, 301호, 302호, 303호, 304호, 305호(오전동)",경기도,의왕시,031-689-8612~7,070-4332-1659,,25.8.6
기구 및 용기·포장,한국에스지에스㈜ ,이인섭,"경기도 의왕시 맑은내길 67, 301호, 302호, 303호, 304호, 305호(오전동)",경기도,의왕시,031-689-8612~7,070-4332-1659,,25.8.6
식품,한국에스지에스㈜ ,이인섭,"경기도 의왕시 맑은내길 67, 301호, 302호, 303호, 304호, 305호(오전동)",경기도,의왕시,031-689-8612~7,070-4332-1659,,25.8.6
식품첨가물,한국에스지에스㈜ ,이인섭,"경기도 의왕시 맑은내길 67, 301호, 302호, 303호, 304호, 305호(오전동)",경기도,의왕시,031-689-8612~7,070-4332-1659,,25.8.6
축산물,한국에스지에스㈜ ,이인섭,"경기도 의왕시 맑은내길 67, 301호, 302호, 303호, 304호(오전동)",경기도,의왕시,031-689-8612~7,070-4332-1659,,24.9.30
건강기능식품,한국식품산업협회 부설 한국식품과학연구원,이효율,경기도 의왕시 봇들로 50(포일동),경기도,의왕시,02-3470-8200,02-523-2072,,25.8.6
기구 및 용기·포장,한국식품산업협회 부설 한국식품과학연구원,이효율,경기도 의왕시 봇들로 50(포일동),경기도,의왕시,02-3470-8200,02-523-2072,,25.8.6
식품,한국식품산업협회 부설 한국식품과학연구원,이효율,경기도 의왕시 봇들로 50(포일동),경기도,의왕시,02-3470-8200,02-523-2072,,25.8.6
식품첨가물,한국식품산업협회 부설 한국식품과학연구원,이효율,경기도 의왕시 봇들로 50(포일동),경기도,의왕시,02-3470-8200,02-523-2072,,25.8.6
축산물,한국식품산업협회 부설 한국식품과학연구원,이효율,경기도 의왕시 봇들로 50(포일동),경기도,의왕시,02-3470-8200,02-523-2072,,27.11.25
위생용품,한국식품산업협회 부설 한국식품과학연구원,이효율,경기도 의왕시 봇들로 50(포일동) ,경기도,의왕시,02-3470-8200,02-523-2072,"세척제, 헹굼보조제, 일회용(컵·숟가락· 젓가락·종이냅킨·이쑤시개·포크·나이프·빨대·행주·타월), 식품접객업소용 물티슈, 화장지, 위생물수건, 건티슈(16품목)",2028.4.18.
건강기능식품,(주)아이에스에이연구원,최영훈,"경기도 의왕시 한밭들길12(고천동, 아이엔에스코리아)",경기도,의왕시,031-212-0063,051-629-7360,,26.5.15
식품,(주)아이에스에이연구원,최영훈,"경기도 의왕시 한밭들길12(고천동, 아이엔에스코리아)",경기도,의왕시,031-212-0063,051-629-7360,,26.5.15
식품첨가물,(주)아이에스에이연구원,최영훈,"경기도 의왕시 한밭들길12(고천동, 아이엔에스코리아)",경기도,의왕시,031-212-0063,051-629-7360,,26.5.15
축산물,㈜아이에스에이연구원,최영훈,"경기도 의왕시 한밭들길12(고천동, 아이엔에스코리아)",경기도,의왕시,031-212-0063,031-211-0622,,26.5.16
식품,(주)디아이분석센터,"류옥균, 이영준","경기도 의정부시 문화로 6(고산동),  A동 921, 922, 923호(한강듀클래스 의정부고산)",경기도,의정부시,031-836-5123,031-836-5124,,25.1.3
축산물,㈜디아이분석센터,"류옥균, 이영준","경기도 의정부시 문화로 6(고산동),  A동 921, 922, 923호(한강듀클래스 의정부고산)",경기도,의정부시,031-836-5123,031-836-5124,,25.1.3
식품,씨제이프레시웨이㈜식품안전연구실,정성필,경기도 이천시 마장면 덕평로 811,경기도,이천시,031-776-5640,031-631-7352,,24.9.21
축산물,씨제이프레시웨이㈜식품안전연구실,정성필,경기도 이천시 마장면 덕평로 811,경기도,이천시,031-776-5654,031-631-7352,"식육가공품,  알가공품, 식용란에 한함",27.11.25
식품,푸디스트㈜ 식품분석센터,유주열,"경기도 이천시 부발읍 중부대로 1763번길 45, 3층",경기도,이천시,031-8011-3804,031-8011-3840,,25.12.8
축산물,푸디스트㈜ 식품분석센터,유주열,"경기도 이천시 부발읍 중부대로 1763번길 45, 3층",경기도,이천시,031-8011-3804,031-8011-3840,"식육가공품, 알가공품, 포장육에 한함",24.11.9
식품,주식회사 다솔 식품분석연구소,조영복,"경기도 하남시 초광산단로 126, 2층(광암동)",경기도,하남시,02-441-5448,070-8709-5549,,26.5.14
축산물,주식회사 다솔 식품분석연구소,최원석,"경기도 하남시 초광산단로 126, 2층(광암동)",경기도,하남시,02-441-5448,070-8709-5549,,26.12.17
건강기능식품,수원여자대학교 식품분석연구센터,차보숙,경기도 화성시 봉담읍 주석로 1098,경기도,화성시,031-290-8217~8,031-290-8220,,25.8.6
식품,수원여자대학교 식품분석연구센터,차보숙,경기도 화성시 봉담읍 주석로 1098,경기도,화성시,031-290-8217~8,031-290-8220,,25.8.6
축산물,수원여자대학교 식품분석연구센터,장기원,경기도 화성시 봉담읍 주석로 1098,경기도,화성시,031-290-8263,031-290-8220,,27.11.25
건강기능식품,한결분석센터 주식회사,김진호,경상남도 사천시 구암두문로 80,경상남도,사천시,055-853-4045~6,055-853-4048,,26.1.22
식품,한결분석센터 주식회사,김진호,경상남도 사천시 구암두문로 80,경상남도,사천시,055-853-4045~6,055-853-4048,,26.1.22
축산물,한결분석센터 주식회사,김진호,경상남도 사천시 구암두문로 80,경상남도,사천시,055-853-4045~6,055-853-6052,,28.1.9
식품,재단법인 창녕양파앤마늘 식품연구원,성낙인,경상남도 창녕군 대지면 우포2로 1085,경상남도,창녕군,055-532-3921,055-532-3922,,26.6.29
기구 및 용기·포장,(주)동진생명연구원,이창흡,경상남도 창원시 의창구 차룡로 48번지 61,경상남도,창원시,055-293-5440,055-293-6980,,25.8.15
식품,(주)동진생명연구원,이창흡,경상남도 창원시 의창구 차룡로 48번지 61,경상남도,창원시,055-293-5440,055-293-6980,,25.8.15
식품첨가물,(주)동진생명연구원,이창흡,경상남도 창원시 의창구 차룡로 48번지 61,경상남도,창원시,055-293-5440,055-293-6980,,25.8.15
축산물,(주)동진생명연구원,이창흡,경상남도 창원시 의창구 차룡로 48번지 61,경상남도,창원시,055-293-5440,055-293-6980,조제유류 제외,27.11.25
식품,(주)하동녹차연구소 식품분석센터,조경환,경상남도 하동군 섬진강대로 3748-14,경상남도,하동군,055-880-6540,055-880-6549,,27.10.15
식품,디에이치유(DHU)바이오 융·복합시험센터,황세진,경상북도 경산시 한의대로 1 바이오센터 2층,경상북도,경산시,053-819-1495,053-819-1496,,26.3.24
축산물,디에이치유(DHU)바이오 융·복합시험센터,황세진,경상북도 경산시 한의대로1 바이오센터 2층,경상북도,경산시,053-819-1495,053-819-1496,,26.3.24
식품,재단법인 경북바이오 산업연구원,전익조,경상북도 안동시 풍산읍 산업단지 2길 5,경상북도,안동시,"054-850-6901, 6914~6916",054-850-6999,,26.2.24
축산물,재단법인 경북바이오 산업연구원,전익조,경상북도 안동시 풍산읍 산업단지 2길 5,경상북도,안동시,"054-850-6901, 6914~6916",054-850-6999,,26.2.24
식품,포항시 수산물품질 관리센터,김창식,경상북도 포항시 남구 구룡포읍 구룡포길117번길 28-8,경상북도,포항시,054-270-2862,054-270-2184,,24.12.29
식품,주식회사 알엠택,이홍연,"광주광역시 광산구 하남산단천변좌로 25, 404호",광주광역시,광산구,062-236-6742,062-236-6741,,27.8.30
건강기능식품,동명생명과학원 주식회사(지점),민석진,광주광역시 북구 첨단벤처소로38번길 11-5 (월출동),광주광역시,북구,062-351-1005,062-351-1006,,28..2.4
식품,동명생명과학원 주식회사(지점),민석진,광주광역시 북구 첨단벤처소로38번길 11-5 (월출동),광주광역시,북구,062-351-1005,062-351-1006,,28..2.4
축산물,동명생명과학원 주식회사(지점),민석진,광주광역시 북구 첨단벤처소로38번길 11-5 (월출동),광주광역시,북구,062-351-1005,062-351-1006,,28.2.4
식품,계명대학교 전통미생물자원개발 및 산업화연구센터,이삼빈,대구광역시 달서구 달구벌대로 1095 첨단산업지원센터,대구광역시,달서구,053-580-6446,053-580-6465,,25.9.27
축산물,계명대학교 전통미생물자원개발 및 산업화연구센터,이삼빈,대구광역시 달서구 달구벌대로 1095 첨단산업지원센터,대구광역시,달서구,053-580-6441,053-580-6465,,27.12.31
건강기능식품,대전대학교 산학협력단,이영환,"대전광역시 동구 대학로 62, 대전대학교 산학협력단 319호",대전광역시,동구,042-280-2826,042-280-2624,,24.11.11
식품,대전대학교 산학협력단,이영환,"대전광역시 동구 대학로 62, 대전대학교 산학협력단 319호",대전광역시,동구,042-280-2826,042-280-2624,,24.11.11
축산물,대전대학교 산학협력단,이영환,"대전광역시 동구 대학로 62, 대전대학교 산학협력단 319호",대전광역시,동구,042-280-2826,042-280-2624,,24.11.11
기구 및 용기·포장,(주)대덕분석기술연구원,최예림,대전광역시 유성구 국제과학8로 33,대전광역시,유성구,042-933-6019,042-935-6019,,26.1.31
건강기능식품,방사능분석센터㈜,박현정,"부산광역시 금정구 부산대학로 63번길 2 부산대학교 공동연구기기동 211-1호, B105호",부산광역시,금정구,051-512-1830,051-514-1830,,28.1.22
기구 및 용기·포장,방사능분석센터㈜,박현정,"부산광역시 금정구 부산대학로 63번길 2 부산대학교 공동연구기기동 211-1호, B105호",부산광역시,금정구,051-512-1830,051-514-1830,,28.1.22
식품,방사능분석센터㈜,박현정,"부산광역시 금정구 부산대학로 63번길 2 부산대학교 공동연구기기동 211-1호, B105호",부산광역시,금정구,051-512-1830,051-514-1830,,28.1.22
식품첨가물,방사능분석센터㈜,박현정,"부산광역시 금정구 부산대학로 63번길 2 부산대학교 공동연구기기동 211-1호, B105호",부산광역시,금정구,051-512-1830,051-514-1830,,28.1.22
축산물,방사능분석센터㈜,박현정,"부산광역시 금정구 부산대학로 63번길 2 부산대학교 공동연구기기동 211-1호, B105호",부산광역시,금정구,051-512-1830,051-514-1830,,28.1.22
건강기능식품,한국식품산업협회 부산지원,이효율,부산광역시 남구 수영로 309(대연동) ,부산광역시,남구,051-628-7915,051-628-7953,,25.8.6
기구 및 용기·포장,한국식품산업협회 부산지원,이효율,부산광역시 남구 수영로 309(대연동) ,부산광역시,남구,051-628-7915,051-628-7953,,25.8.6
식품,한국식품산업협회 부산지원,이효율,부산광역시 남구 수영로 309(대연동) ,부산광역시,남구,051-628-7915,051-628-7953,,25.8.6
식품첨가물,한국식품산업협회 부산지원,이효율,부산광역시 남구 수영로 309(대연동) ,부산광역시,남구,051-628-7915,051-628-7953,,25.8.6
축산물,한국식품산업협회 부산지원,이효율,부산광역시 남구 수영로 309(대연동) ,부산광역시,남구,051-628-7915,051-628-7953,,25.7.13
축산물,부경대학교 식품분석센터,오정환,부산광역시 남구 신선로 365  부경대학교 용당캠퍼스 33호관,부산광역시,남구,051-629-7357,051-629-7360,,25.8.25
식품,부경대학교 식품분석센터,오정환,부산광역시 남구 용당동 신선로 365,부산광역시,남구,051-629-7356,051-629-7360,,26.5.11
건강기능식품,(주)한국분석기술연구원,이태훈,부산광역시 동구 대영로 267 해광빌딩(초량동) ,부산광역시,동구,051-466-1231,051-466-3298,,25.8.6
기구 및 용기·포장,(주)한국분석기술연구원,이태훈,부산광역시 동구 대영로 267 해광빌딩(초량동) ,부산광역시,동구,051-466-1231,051-466-3298,,25.8.6
식품,(주)한국분석기술연구원,이태훈,부산광역시 동구 대영로 267 해광빌딩(초량동) ,부산광역시,동구,051-466-1231,051-466-3298,,25.8.6
식품첨가물,(주)한국분석기술연구원,이태훈,부산광역시 동구 대영로 267 해광빌딩(초량동) ,부산광역시,동구,051-466-1231,051-466-3298,,25.8.6
위생용품,㈜한국분석기술연구원,이태훈,부산광역시 동구 대영로 267 해광빌딩(초량동) ,부산광역시,동구,051-466-1231,051-466-3298,"「위생용품 관리법」제10조에 따른 기준 및 규격에 따른 품목(면봉, 기저귀 제외)",2028.8.21.
축산물,(주)한국분석기술연구원,이태훈,부산광역시 동구 대영로 267 해광빌딩(초량동) ,부산광역시,동구,051-466-1231,051-466-3298,,25.7.19.
건강기능식품,(주)캠바이오,이헌무,부산광역시 동래구 충렬대로 280,부산광역시,동래구,051-711-7170,051-711-7169,,26.1.16
식품,(주)캠바이오,이헌무,부산광역시 동래구 충렬대로 280,부산광역시,동래구,051-711-7170,051-711-7169,,26.1.16
축산물,(주)캠바이오,이헌무,부산광역시 동래구 충렬대로 280,부산광역시,동래구,051-711-7170,051-711-7169,조제유류 제외,25.12.5
건강기능식품,(주)한국분석센터,김윤아,부산광역시 사상구 학감대로133번길 13(학장동),부산광역시,사상구,051-714-4691,051-714-4692,,25.3.13
식품,(주)한국분석센터,김윤아,부산광역시 사상구 학감대로133번길 13(학장동),부산광역시,사상구,051-714-4691,051-714-4692,,25.3.13
축산물,(주)한국분석센터,김윤아,부산광역시 사상구 학감대로133번길 13(학장동),부산광역시,사상구,051-714-4691,051-714-4692,조제유류 제외,25.12.10.
건강기능식품,(주)세스코 시험분석연구원,전찬혁,"서울특별시 강동구  상일로10길 36, 8층 (상일동)",서울특별시,강동구,02-2140-3515,02-426-6052,,25.1.27
기구 및 용기·포장,(주)세스코 시험분석연구원,전찬혁,"서울특별시 강동구  상일로10길 36, 8층 (상일동)",서울특별시,강동구,02-2140-3515,02-426-6052,,25.1.27
식품,(주)세스코 시험분석연구원,전찬혁,"서울특별시 강동구  상일로10길 36, 8층 (상일동)",서울특별시,강동구,02-2140-3515,02-426-6052,,25.1.27
식품첨가물,(주)세스코 시험분석연구원,전찬혁,"서울특별시 강동구  상일로10길 36, 8층 (상일동)",서울특별시,강동구,02-2140-3515,02-426-6052,,25.1.27
축산물,(주)세스코 시험분석연구원,전찬혁,"서울특별시 강동구  상일로10길 36, 세종텔레콤 8, 9층 (상일동)",서울특별시,강동구,02-2140-3515,02-426-6052,,27.9.18
위생용품,㈜세스코 시험분석연구원,전찬혁,"서울특별시 강동구 상일로 10길 36, 8층(상일동)",서울특별시,강동구,02-2140-3515,02-426-6052,「위생용품 관리법」제10조에 따른 기준 및 규격에 따른 품목,2025.8.20.
식품,(주)아워홈 품질보증센터,구지은,"서울특별시 강서구 마곡중앙10로 91, 7층",서울특별시,강서구,02-6966-9435,02-6713-6539,,27.8.29
식품첨가물,(주)아워홈 품질보증센터,구지은,"서울특별시 강서구 마곡중앙10로 91, 7층",서울특별시,강서구,02-6966-9435,02-6713-6539,,27.8.29
축산물,(주)아워홈 품질보증센터,구지은,"서울특별시 강서구 마곡중앙10로 91, 7층",서울특별시,강서구,02-6966-9435,02-6713-6539,조제유류 제외,25.2.5
위생용품,(사)한국위생물수건처리업중앙회,안복현,"서울특별시 강서구 화곡로58길 35, 4층(화곡6동, 성욱빌딩)",서울특별시,강서구,02-2606-8186,02-2606-8188,위생물수건(1품목),2024.11.15.
식품,에스피씨(주) 식품생명공학연구소,황재복,"서울특별시 관악구 관악로 1 서울대학교 203동 5층(501,503,505,506호)",서울특별시,관악구,02-870-7426,02-870-7499,,25.1.11
축산물,에스피씨(주) 식품생명공학연구소,황재복,"서울특별시 관악구 관악로 1 서울대학교 203동 5층(501,503,505,506호)",서울특별시,관악구,02-870-7412,02-870-7499,,25.1.11
축산물,제일분석센타(주),이은미,"서울특별시 구로구 디지털로 272, 909, 910, 912, 913, 914, 915호(구로동, 한신IT타워)",서울특별시,구로구,02-862-8666,02-868-4610,,25.5.18
식품,제일분석센타(주),이은미,"서울특별시 구로구 디지털로 272, 909호, 910호, 912~915호(구로동, 한신아이티타워)",서울특별시,구로구,02-868-8188,02-868-4610,,25.5.18
건강기능식품,(주)바이오푸드랩,이용표,"서울특별시 구로구 디지털로30길 28, 1410호∼1414호 (구로동, 마리오타워)",서울특별시,구로구,070-7410-1400,070-7410-1430,,25.2.15
식품,(주)바이오푸드랩,이용표,"서울특별시 구로구 디지털로30길 28, 1410호∼1414호 (구로동, 마리오타워)",서울특별시,구로구,070-7410-1400,070-7410-1430,,25.2.15
축산물,㈜바이오푸드랩,이용표,"서울특별시 구로구 디지털로30길 28, 1410호∼1414호 (구로동, 마리오타워)",서울특별시,구로구,070-7410-1420,070-7410-1430,,24.10.15
기구 및 용기·포장,(재)한국건설생활환경시험연구원,조영태,서울특별시 금천구 가산디지털 1로199(가산동),서울특별시,금천구,02-2102-2571,02-855-1802,,25.8.6
건강기능식품,(주)코젠바이오텍,남용석,서울특별시 금천구 가산디지털1로 168 우림라이온스밸리 C동 1101호,서울특별시,금천구,02-2026-2150~4,02-2026-2155,,25.8.6
식품,(주)코젠바이오텍,남용석,서울특별시 금천구 가산디지털1로 168 우림라이온스밸리 C동 1101호,서울특별시,금천구,02-2026-2150~4,02-2026-2155,,25.8.6
위생용품,(재)한국건설생활환경시험연구원,조영태,서울특별시 금천구 가산디지털1로 199(가산동),서울특별시,금천구,02-2102-2579,02-855-1802,「위생용품 관리법」제10조에 따른 기준 및 규격에 따른 품목,2028.4.22.
식품,(주)산업공해연구소,"이기채, 이혜선",서울특별시 금천구 디지털로 130 남성프라자 1008-1010 ,서울특별시,금천구,02-2026-1271,02-2026-1268,,25.8.6
축산물,(주)산업공해연구소,"이기채, 이혜선",서울특별시 금천구 디지털로 130 남성프라자 1008-1010 ,서울특별시,금천구,02-2026-1250,02-2026-1268,,27.11.25
위생용품,㈜오에이티씨,방상구,"서울특별시 금천구 범안로 1130, 801~806호, 905~912호(가산동, 디지털엠파이어)",서울특별시,금천구,070-4044-7084,02-865-8832,「위생용품 관리법」제10조에 따른 기준 및 규격에 따른 품목,2025.1.6.
축산물,㈜오에이티씨(OATC Inc.),방상구,"서울특별시 금천구 범안로 1130, 디지털엠파이어빌딩 801~806호, 905-912호",서울특별시,금천구,070-4044-8830,070-4032-1902,,25.6.14
