업종,핵심키워드,질문
,반가공,"수입한 반가공 원료식품을 8개월 후 다시 수입하는 경우, 자가품질검사는 필요한가요?"
,보스산,식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
,보존료,식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
,비매품,판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
,생산중단,제조 중단 후 검사 주기는 어떻게 적용되나요?
,소분업,"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "
,소분포장,"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "
,수익식품,"동일한 검사항목을 가진, 제품명과 원재료명이 다른 수입식품 A와 B의 자가품질검사 방법은 어떻게 되나요?"
,수입,"수입한 반가공 원료식품을 8개월 후 다시 수입하는 경우, 자가품질검사는 필요한가요?"
,수출용제품,수출용 제품도 자가품질검사를 해야 하나요?
,수출제품,수출용 제품도 자가품질검사를 해야 하나요?
,식품제조가공업,"식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?"
,식품첨가물,"식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?"
,없는항목,식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?
,염류,식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
,원료성제품,"식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?"
,원료식품,"수입한 반가공 원료식품을 8개월 후 다시 수입하는 경우, 자가품질검사는 필요한가요?"
,원료제조,"식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?"
,원료조합,"식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?"
,원재료,"동일한 검사항목을 가진, 제품명과 원재료명이 다른 수입식품 A와 B의 자가품질검사 방법은 어떻게 되나요?"
,,"식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?"
,위탁검사,"자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?"
,이벤트행사용,판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
,임시영업,"즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?"
,자가품질검사항목,식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?
,자체시스템,자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
,재검사,제조 중단 후 검사 주기는 어떻게 적용되나요?
,재수입,"수입한 반가공 원료식품을 8개월 후 다시 수입하는 경우, 자가품질검사는 필요한가요?"
,전체품목,"절임류(단무지)를 업체에서 자가품질검사 전항목 미실시로 적발된 경우(동일한 검사항목을 적용받는 품목) 전체 품목을 정지해야 하나요, 아니면 대표 품목만 정지해야 하나요?"
,절임류,"절임류(단무지)를 업체에서 자가품질검사 전항목 미실시로 적발된 경우(동일한 검사항목을 적용받는 품목) 전체 품목을 정지해야 하나요, 아니면 대표 품목만 정지해야 하나요?"
,제조원료,"식품제조가공업소에서 자신의 제품 제조에 사용하는 원료성 제품에 대해 품목제조보고를 한 경우, 자가품질검사 대상인가요?"
,제조중단,제조 중단 후 검사 주기는 어떻게 적용되나요?
,즉석판매제조가공업,"즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?"
,증정용,판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
,타제조사,"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "
,통합실험실정보관리시스템,"자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?"
,,자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
,파라옥신안시향산류,식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
,프로피온산,식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
,한시적 영업,"즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?"
,항목외검사,식품의 기준 및 규격은 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사하지 않아도 되는지?
,행사용,판매용이 아닌 증정용 또는 이벤트 행사용 제품도 자가품질검사를 실시해야 하나요?
,혼합제제,"식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?"
,휴업,제조 중단 후 검사 주기는 어떻게 적용되나요?
,LIMS,"자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?"
,,자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
축산업,간장,"축산물가공품 제조·가공 시 아질산이온, 타르색소, 보존료를 직접 사용하지 않았지만, 원료로 사용된 간장 등에 포함된 경우에도 검사를 해야 하나요?"
,검사시설,축산물가공업 영업자는 반드시 검사실을 갖추어야 하나요?
,검사실,축산물가공업 영업자는 반드시 검사실을 갖추어야 하나요?
,검사자격,자가품질검사 의무 대상 영업자가 직접 검사를 실시할 수 있나요?
,검사주기,자체적으로 제품 검사를 실시할 때도 자가품질검사 주기를 준수해야 하나요?
,,축산물 자가품질검사 주기의 적용 시점은 언제인가요?
,계열회사,축산물가공업 영업자는 반드시 검사실을 갖추어야 하나요?
,공통유형,축산물 유형별로 자가품질검사를 실시할 수 있는 범위는 어떻게 되나요?
,다수영업장,영업장소가 서로 다른 다수의 영업장에서 생산한 제품의 자가품질검사 대상 품목은 어떻게 되나요?
,동일유형,"전년도에 생산된 동일 유형의 품목이 없는 경우, 유형별 검사 품목 수는 어떻게 산정해야 하나요?"
,,"지난해 동일 유형의 품목이 12개를 초과하여 생산된 경우, 생산중량 상위 3개 품목을 검사에 포함시켜야 합니다. 만약 당해연도에 이 3개 품목 중 일부 또는 전부가 생산되지 않았다면, 해당 품목들을 별도로 생산하여 검사를 실시해야 하나요?"
,,축산물 유형별로 자가품질검사를 실시할 수 있는 범위는 어떻게 되나요?
,미대상,「식품의 기준 및 규격」에는 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사를 하지 않아도 되나요?
,미사용,"「축산물의 자가품질검사 규정」에 따른 아질산이온, 타르색소, 보존료 검사항목이 있을 때, 제품 제조·가공 시 이를 사용하지 않았다면 검사를 생략해도 되나요?
"
,보존료,"「축산물의 자가품질검사 규정」에 따른 아질산이온, 타르색소, 보존료 검사항목이 있을 때, 제품 제조·가공 시 이를 사용하지 않았다면 검사를 생략해도 되나요?
"
,,"축산물가공품 제조·가공 시 아질산이온, 타르색소, 보존료를 직접 사용하지 않았지만, 원료로 사용된 간장 등에 포함된 경우에도 검사를 해야 하나요?"
,부적합,자가품질검사 부적합 판정을 받았을 경우 조치사항은 어떻게 되나요??
,,자가품질검사 부적합 판정이 되면 행정처분 대상이 되나요?
,부적합 조치,자가품질검사 부적합 판정을 받았을 경우 조치사항은 어떻게 되나요??
,부적합판정,자가품질검사 부적합 판정을 받았을 경우 조치사항은 어떻게 되나요??
,,자가품질검사 부적합 판정이 되면 행정처분 대상이 되나요?
,비살균제품,"동일한 유형의 살균제품과 비살균제품을 생산하는 경우, 살균제품과 비살균제품을 각각 검사해야 하나요? 예를 들어, 1년에 소시지 유형에서 살균제품 5품목과 비살균제품 50품목을 생산한 경우 어떻게 해야 하나요?"
,살균제품,"동일한 유형의 살균제품과 비살균제품을 생산하는 경우, 살균제품과 비살균제품을 각각 검사해야 하나요? 예를 들어, 1년에 소시지 유형에서 살균제품 5품목과 비살균제품 50품목을 생산한 경우 어떻게 해야 하나요?"
,상위," ""생산중량 상위 3개 품목""은 전년도 생산 중량을 기준으로 하나요, 아니면 당해 연도 생산 중량을 기준으로 하나요?"
,생략,"「축산물의 자가품질검사 규정」에 따른 아질산이온, 타르색소, 보존료 검사항목이 있을 때, 제품 제조·가공 시 이를 사용하지 않았다면 검사를 생략해도 되나요?
"
,생산중단,"지난해 동일 유형의 품목이 12개를 초과하여 생산된 경우, 생산중량 상위 3개 품목을 검사에 포함시켜야 합니다. 만약 당해연도에 이 3개 품목 중 일부 또는 전부가 생산되지 않았다면, 해당 품목들을 별도로 생산하여 검사를 실시해야 하나요?"
,생산중량," ""생산중량 상위 3개 품목""은 전년도 생산 중량을 기준으로 하나요, 아니면 당해 연도 생산 중량을 기준으로 하나요?"
,생산중량상위,"지난해 동일 유형의 품목이 12개를 초과하여 생산된 경우, 생산중량 상위 3개 품목을 검사에 포함시켜야 합니다. 만약 당해연도에 이 3개 품목 중 일부 또는 전부가 생산되지 않았다면, 해당 품목들을 별도로 생산하여 검사를 실시해야 하나요?"
,생산품목수,"당해연도에 생산된 품목 수가 1년 동안 검사해야 하는 최소 품목 수보다 적을 경우, 유형별 최소 검사 품목 수를 충족하기 위해 별도로 생산하여 검사를 실시해야 하나요?"
,설파구아니딘,식용란 자가품질검사 항목 중 설파제에 해당하는 성분은 무엇인가요?
,설파독실,식용란 자가품질검사 항목 중 설파제에 해당하는 성분은 무엇인가요?
,설파디메톡신,식용란 자가품질검사 항목 중 설파제에 해당하는 성분은 무엇인가요?
,설파제,식용란 자가품질검사 항목 중 설파제에 해당하는 성분은 무엇인가요?
,식용란,식용란 자가품질검사 항목 중 설파제에 해당하는 성분은 무엇인가요?
,,"식용란수집판매업 영업자가 새로운 가축사육시설로부터 식용란을 수집하여 판매할 경우, 자가품질검사 주기는 어떻게 적용되나요?"
,식용란구매,"식용란수집판매업 영업자가 새로운 가축사육시설로부터 식용란을 수집하여 판매할 경우, 자가품질검사 주기는 어떻게 적용되나요?"
,식용란수집,"식용란수집판매업 영업자가 새로운 가축사육시설로부터 식용란을 수집하여 판매할 경우, 자가품질검사 주기는 어떻게 적용되나요?"
,식용란판매,"식용란수집판매업 영업자가 새로운 가축사육시설로부터 식용란을 수집하여 판매할 경우, 자가품질검사 주기는 어떻게 적용되나요?"
,아질산이온,"「축산물의 자가품질검사 규정」에 따른 아질산이온, 타르색소, 보존료 검사항목이 있을 때, 제품 제조·가공 시 이를 사용하지 않았다면 검사를 생략해도 되나요?
"
,,"축산물가공품 제조·가공 시 아질산이온, 타르색소, 보존료를 직접 사용하지 않았지만, 원료로 사용된 간장 등에 포함된 경우에도 검사를 해야 하나요?"
,여러영업장,영업장소가 서로 다른 다수의 영업장에서 생산한 제품의 자가품질검사 대상 품목은 어떻게 되나요?
,영업소,영업장소가 서로 다른 다수의 영업장에서 생산한 제품의 자가품질검사 대상 품목은 어떻게 되나요?
,원료,"축산물가공품 제조·가공 시 아질산이온, 타르색소, 보존료를 직접 사용하지 않았지만, 원료로 사용된 간장 등에 포함된 경우에도 검사를 해야 하나요?"
,유형별,축산물 유형별로 자가품질검사를 실시할 수 있는 범위는 어떻게 되나요?
,유형별검사,"전년도에 생산된 동일 유형의 품목이 없는 경우, 유형별 검사 품목 수는 어떻게 산정해야 하나요?"
,유형별최소검사,"당해연도에 생산된 품목 수가 1년 동안 검사해야 하는 최소 품목 수보다 적을 경우, 유형별 최소 검사 품목 수를 충족하기 위해 별도로 생산하여 검사를 실시해야 하나요?"
,자율검사,자체적으로 제품 검사를 실시할 때도 자가품질검사 주기를 준수해야 하나요?
,자체검사,자가품질검사 의무 대상 영업자가 직접 검사를 실시할 수 있나요?
,,자체적으로 제품 검사를 실시할 때도 자가품질검사 주기를 준수해야 하나요?
,중복검사,축산물 유형별로 자가품질검사를 실시할 수 있는 범위는 어떻게 되나요?
,직접검사,자가품질검사 의무 대상 영업자가 직접 검사를 실시할 수 있나요?
,처분,자가품질검사 부적합 판정이 되면 행정처분 대상이 되나요?
,최소품목,"당해연도에 생산된 품목 수가 1년 동안 검사해야 하는 최소 품목 수보다 적을 경우, 유형별 최소 검사 품목 수를 충족하기 위해 별도로 생산하여 검사를 실시해야 하나요?"
,최소품목수,1년 동안 검사해야 하는 최소 품목 수를 정하는 시행규칙은 축산물가공업과 식육즉석판매가공업 모두에 해당되나요?
,추가영업장,영업장소가 서로 다른 다수의 영업장에서 생산한 제품의 자가품질검사 대상 품목은 어떻게 되나요?
,타르색소,"「축산물의 자가품질검사 규정」에 따른 아질산이온, 타르색소, 보존료 검사항목이 있을 때, 제품 제조·가공 시 이를 사용하지 않았다면 검사를 생략해도 되나요?
"
,,"축산물가공품 제조·가공 시 아질산이온, 타르색소, 보존료를 직접 사용하지 않았지만, 원료로 사용된 간장 등에 포함된 경우에도 검사를 해야 하나요?"
,포장육,"축산물가공품이나 포장육을 일정 기간 제조하지 않았을 경우, 자가품질검사 주기는 어떻게 적용되나요?"
,,포장육은 유형별로 한 가지만 검사해도 되나요?
,항목에없는,「식품의 기준 및 규격」에는 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사를 하지 않아도 되나요?
,항목외,「식품의 기준 및 규격」에는 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사를 하지 않아도 되나요?
,항목외검사,「식품의 기준 및 규격」에는 설정되어 있으나 자가품질검사 항목에 없는 것들은 검사를 하지 않아도 되나요?
,행정처분,자가품질검사 부적합 판정이 되면 행정처분 대상이 되나요?
총계,,
